gender,age
F,33
M,21
M,29
F,18
F,3
 ,35
 ,17
 ,56
 ,63
M,24
M,12
M,56
F,36
M,25
F,26
M,40
F,17
F,76
 ,19
F,11
F,18
F,26
F,10
F,11
M,33
M,20
M,65
M,74
M,78
F,24
 ,19
M,20
 ,73
 ,61
M,18
 ,41
 ,20
 ,43
F,44
 ,52
M,31
M,27
M,66
F,35
F,16
 ,34
F,26
F,65
F,21
F,39
F,31
M,72
 ,28
F,39
 ,67
F,37
M,32
M,63
M,71
 ,17
 ,58
M,35
 ,31
 ,19
F,33
M,61
F,26
F,41
F,43
F,16
M,54
M,42
M,49
F,21
 ,33
 ,23
F,25
 ,20
M,20
F,51
F,24
F,72
 ,2
F,33
M,36
 ,31
 ,32
F,40
M,26
F,47
F,34
M,44
F,41
 ,76
F,26
M,18
 ,45
M,21
M,79
 ,38
 ,23
F,24
 ,18
F,74
 ,32
 ,63
 ,48
M,56
M,51
 ,48
 ,30
M,29
F,40
M,23
F,24
F,26
F,42
M,15
M,29
F,25
M,15
 ,25
F,54
M,27
F,38
F,20
F,23
 ,28
F,34
M,72
 ,32
M,75
F,63
M,70
 ,26
F,69
M,21
F,44
M,57
F,83
F,37
F,39
 ,51
F,67
M,68
M,35
M,45
M,58
F,21
M,40
F,12
F,42
M,40
M,51
M,52
 ,43
F,25
M,79
M,47
M,34
F,52
F,48
M,86
M,30
M,56
F,57
M,26
F,52
F,77
F,64
F,72
M,72
F,55
F,65
F,70
M,75
F,28
F,62
F,45
M,52
F,25
F,47
M,53
M,61
M,68
 ,58
M,27
F,28
M,25
M,37
F,49
F,33
F,67
M,56
M,38
M,63
F,60
M,47
M,41
F,25
F,84
F,31
F,44
M,14
F,71
M,58
M,34
M,51
F,44
F,24
F,51
F,46
F,62
F,90
M,40
 ,38
F,35
F,58
F,53
 ,77
F,56
M,52
F,61
F,22
F,27
M,47
M,82
F,25
M,68
 ,49
M,78
M,71
F,80
 ,35
F,66
F,45
M,32
M,69
F,85
F,77
M,80
M,72
F,30
M,71
F,83
M,78
M,76
M,67
M,78
M,62
 ,68
F,42
F,51
F,42
 ,84
 ,30
F,46
F,71
 ,59
 ,69
 ,61
M,71
F,36
F,26
M,18
F,42
 ,22
F,43
M,54
 ,1
F,35
M,55
 ,26
F,82
F,29
M,24
 ,42
F,19
 ,22
M,61
M,80
 ,34
M,23
F,51
F,2
 ,17
F,51
 ,19
 ,18
 ,66
 ,21
F,42
M,42
M,83
F,60
M,40
M,32
M,13
M,26
 ,32
F,60
F,23
F,29
M,7
 ,46
F,6
M,7
M,16
 ,40
 ,21
 ,17
 ,27
F,28
 ,43
F,18
M,58
F,22
F,24
M,45
F,29
M,37
F,46
M,22
M,26
M,47
F,39
F,64
 ,4
 ,36
 ,4
F,55
 ,34
 ,27
 ,4
M,66
M,21
M,19
M,10
M,49
F,78
M,28
M,16
M,16
 ,18
M,26
M,71
M,76
F,32
F,27
F,39
 ,37
 ,63
 ,16
F,43
F,57
M,69
 ,38
F,43
 ,33
 ,32
M,43
F,46
F,32
M,74
M,4
M,52
F,25
F,43
M,62
 ,32
 ,59
M,14
M,31
F,22
F,41
F,58
M,56
 ,72
F,40
F,47
F,74
M,69
 ,24
M,30
 ,36
F,5
M,50
F,54
F,37
F,66
 ,72
F,37
M,26
 ,74
F,78
M,55
M,29
M,59
M,26
F,72
M,54
M,52
M,23
M,63
 ,51
M,34
M,39
F,66
M,67
F,40
F,64
F,23
F,48
M,77
F,70
F,30
F,22
M,41
 ,70
M,69
F,53
F,28
F,64
F,47
M,16
M,24
F,27
M,38
M,54
M,46
F,37
F,37
F,54
F,24
M,77
M,34
M,60
M,23
M,26
M,68
M,56
M,35
F,50
F,34
F,20
F,25
F,42
M,44
 ,34
M,33
F,40
M,21
F,40
M,70
F,42
F,40
F,56
F,54
F,74
F,60
F,23
M,18
M,38
F,46
M,67
M,9
M,21
M,17
 ,49
F,30
M,57
F,32
F,45
M,32
M,37
M,63
F,37
M,74
F,58
M,18
F,28
M,19
F,34
M,36
M,34
M,26
M,81
 ,32
F,58
F,63
 ,31
F,42
 ,27
M,49
F,71
F,34
F,75
F,63
M,62
M,44
F,44
F,72
M,72
M,32
M,74
F,65
M,70
F,50
M,26
M,68
F,42
M,60
F,35
M,19
F,44
F,51
F,76
F,58
F,22
M,36
 ,74
F,76
M,61
M,68
M,47
 ,15
F,28
M,5
M,85
F,70
M,72
M,51
F,33
 ,47
 ,45
F,22
 ,30
 ,20
M,52
M,66
 ,65
M,27
F,56
F,28
F,51
M,21
 ,26
M,33
F,53
F,41
M,79
M,33
M,41
M,46
 ,50
F,33
 ,54
 ,21
F,24
 ,44
F,31
M,37
M,43
F,12
M,43
F,23
F,5
F,50
F,26
M,23
F,32
M,30
M,63
M,57
F,6
M,51
M,73
F,41
 ,59
M,25
F,51
 ,43
M,44
M,59
M,27
F,56
F,55
M,38
M,71
F,47
F,27
M,22
F,56
M,51
 ,74
F,54
 ,44
M,35
M,27
M,80
F,84
F,46
F,28
M,35
 ,36
M,56
 ,40
F,80
 ,8
 ,7
 ,11
 ,50
M,81
F,57
 ,66
 ,53
F,53
M,45
F,44
M,56
M,56
M,67
F,23
M,27
F,40
M,38
M,39
 ,14
 ,16
 ,57
M,51
M,42
M,70
 ,20
 ,48
F,31
F,43
M,73
M,34
 ,41
M,32
M,27
 ,79
M,43
F,71
 ,56
 ,39
M,60
 ,54
 ,51
M,29
M,47
M,21
F,51
 ,38
M,70
F,50
F,23
M,76
 ,30
F,60
F,36
F,53
F,65
F,43
F,38
F,41
F,56
 ,39
M,35
F,34
F,49
 ,23
F,71
M,54
F,75
 ,62
M,32
M,45
M,62
F,34
F,16
 ,78
M,57
M,40
 ,25
 ,51
F,27
 ,55
M,64
M,42
 ,35
F,39
F,32
M,24
F,18
 ,32
F,62
M,67
 ,45
M,69
M,71
M,33
M,23
M,70
M,22
M,26
M,19
 ,37
M,37
 ,69
M,52
M,83
M,91
F,90
F,28
M,26
F,48
F,17
F,45
M,56
 ,31
F,77
M,50
M,49
 ,52
 ,26
M,36
F,68
 ,50
M,48
M,36
F,37
M,41
 ,58
F,40
F,21
M,64
M,47
 ,32
F,51
 ,48
 ,47
 ,30
F,22
M,23
M,63
M,76
M,78
M,69
F,22
M,27
M,53
F,72
 ,75
F,47
F,22
 ,22
M,43
M,55
M,46
M,26
M,9
M,51
M,37
M,38
M,50
 ,56
M,39
F,89
F,77
M,43
F,30
F,37
F,22
F,75
M,36
 ,70
M,24
 ,36
M,60
F,27
F,51
 ,68
M,49
M,40
M,44
M,35
M,47
M,15
M,6
M,14
M,63
M,41
 ,33
M,63
M,37
F,56
 ,15
F,16
M,27
 ,85
 ,85
M,38
 ,23
M,62
F,59
F,27
 ,27
 ,23
M,32
F,58
M,23
M,53
F,58
M,25
 ,51
F,20
 ,49
F,44
 ,69
M,46
M,63
 ,30
F,63
M,58
 ,27
F,60
 ,34
F,38
 ,75
M,63
F,68
M,70
F,66
F,57
 ,65
M,47
F,70
F,72
F,38
 ,70
 ,38
M,26
 ,56
 ,38
F,67
M,62
F,50
F,33
M,17
M,19
M,78
M,29
M,48
F,64
F,49
M,68
M,72
M,73
M,83
F,21
M,73
M,21
M,74
F,46
F,8
F,56
F,27
M,39
F,93
M,37
F,50
F,37
F,49
M,47
M,67
M,26
M,56
M,72
F,48
F,12
M,66
F,72
F,73
M,32
M,35
M,76
F,63
F,65
M,39
F,45
F,41
F,37
F,48
F,76
F,65
F,67
F,61
F,20
F,79
M,75
M,51
F,39
M,82
M,40
M,76
F,70
M,56
F,94
F,76
M,61
F,73
M,74
F,39
F,56
M,45
M,50
F,63
F,62
M,78
M,75
F,25
F,80
F,51
M,80
F,77
M,78
M,71
F,35
M,60
F,47
M,86
M,61
F,44
F,68
F,72
M,34
M,37
F,50
F,63
M,64
M,74
M,71
M,68
F,74
F,77
M,68
M,92
M,68
M,73
M,67
M,62
F,86
M,71
M,95
F,76
M,46
M,66
M,52
F,32
F,91
M,65
M,79
F,64
M,83
M,61
M,72
F,60
F,61
M,45
F,32
F,88
F,14
F,37
F,51
M,71
 ,35
F,43
M,54
F,45
F,37
F,79
F,74
M,73
 ,60
F,67
F,66
M,76
M,38
F,22
F,57
M,76
M,25
M,20
F,66
M,67
M,51
F,52
F,31
M,86
F,41
M,60
F,71
F,40
M,52
F,60
 ,88
 ,87
F,30
M,64
F,25
F,68
 ,52
F,45
F,75
F,54
M,35
F,41
M,85
M,78
F,71
F,26
M,56
F,62
M,47
M,56
M,79
F,0
F,77
F,88
M,77
M,60
M,57
F,76
F,78
F,53
M,81
F,72
F,76
F,30
F,83
F,48
F,103
M,73
F,74
F,98
F,35
F,58
 ,70
F,67
F,84
F,54
M,69
 ,87
F,82
F,81
F,57
F,56
M,63
O,87
M,59
F,86
F,77
 ,22
M,24
 ,36
M,22
M,52
F,37
F,81
F,43
 ,31
F,42
F,51
 ,25
M,2
M,54
F,14
 ,45
F,24
F,51
M,23
 ,78
F,82
F,64
F,62
M,26
 ,21
 ,50
M,16
F,25
M,26
F,17
M,20
 ,17
F,27
M,27
 ,48
 ,46
M,59
M,31
 ,63
M,81
 ,75
M,26
F,20
 ,17
F,36
 ,35
 ,41
F,48
M,40
 ,65
 ,19
F,42
M,56
F,25
F,68
F,54
 ,36
 ,34
 ,34
M,53
M,69
F,65
 ,61
M,23
M,30
F,38
 ,74
F,48
F,48
 ,18
F,26
M,60
F,33
M,69
F,73
F,37
 ,16
F,51
 ,27
M,43
M,27
F,59
F,60
M,24
M,33
 ,42
M,45
F,40
 ,36
 ,35
 ,45
M,20
M,26
F,27
 ,35
 ,40
F,37
F,42
M,29
M,33
F,47
F,36
 ,27
M,8
M,70
 ,8
F,45
M,19
M,40
F,24
M,48
F,65
 ,41
M,19
 ,66
 ,30
 ,37
 ,71
 ,37
M,35
F,65
M,48
M,19
 ,45
 ,45
M,19
F,21
 ,55
 ,16
M,51
F,54
F,21
 ,86
 ,60
 ,49
M,26
F,33
F,20
 ,1
M,16
F,9
F,40
 ,29
M,22
M,34
F,18
M,66
 ,31
M,38
M,72
F,43
M,45
F,29
F,17
M,24
M,43
M,91
F,25
M,81
 ,16
M,55
M,56
M,17
 ,55
 ,37
F,26
F,56
F,56
F,62
 ,24
 ,63
F,26
F,18
M,31
 ,71
F,45
F,33
M,33
F,33
 ,31
 ,28
 ,27
 ,68
 ,79
F,61
F,22
 ,29
 ,21
 ,32
F,40
 ,18
 ,7
 ,12
 ,9
 ,24
 ,48
M,39
M,23
 ,18
 ,41
M,17
M,70
M,19
M,42
M,50
 ,33
F,17
 ,22
F,20
 ,70
M,23
F,28
 ,17
M,70
F,65
F,24
F,18
 ,18
F,61
F,48
 ,36
 ,25
F,41
M,17
M,27
M,69
F,76
 ,37
F,19
F,61
F,21
 ,35
 ,36
 ,35
M,71
M,42
 ,51
M,19
M,32
M,59
F,51
F,21
M,45
F,54
 ,58
F,76
M,75
M,68
M,20
 ,17
 ,80
F,35
F,51
M,38
M,15
M,2
F,61
M,39
 ,32
F,48
F,2
M,4
M,34
 ,32
M,2
M,26
 ,26
 ,34
M,46
 ,34
M,41
F,38
 ,34
F,24
F,83
M,32
M,46
F,60
 ,26
M,24
F,55
F,65
F,66
M,25
F,39
F,39
F,18
F,59
 ,25
F,18
 ,23
M,28
M,30
M,18
M,33
M,16
M,50
F,44
M,39
 ,33
 ,55
 ,41
F,73
M,73
F,56
M,79
 ,32
F,37
 ,45
F,20
F,68
M,67
M,72
M,36
 ,28
F,66
M,58
 ,29
M,84
M,30
M,37
M,28
M,38
 ,36
 ,72
M,5
F,47
M,52
M,65
M,43
 ,41
 ,27
M,31
F,18
M,20
F,59
F,19
M,65
M,77
F,54
M,44
M,72
F,40
F,50
M,20
F,26
 ,56
 ,28
F,79
F,5
M,10
F,37
M,61
 ,69
M,67
M,77
M,43
F,51
M,56
F,16
 ,40
F,2
F,66
 ,37
 ,28
F,52
F,29
M,40
 ,45
M,66
 ,17
 ,32
 ,43
 ,32
 ,74
F,34
M,10
M,21
M,7
M,9
 ,5
M,55
 ,48
 ,57
 ,18
M,42
 ,42
F,33
 ,51
M,43
M,52
F,48
M,52
M,21
M,45
F,33
M,21
M,46
M,2
M,25
F,14
F,45
M,14
F,2
F,51
M,30
 ,4
 ,23
F,55
 ,18
F,68
F,80
F,66
F,17
M,17
F,87
 ,17
 ,28
 ,36
F,20
 ,21
M,17
M,31
F,60
 ,58
F,24
 ,40
F,41
 ,85
 ,25
 ,36
 ,46
F,32
M,38
 ,58
F,61
M,51
 ,49
M,11
F,36
M,31
 ,61
M,48
F,39
F,59
M,38
M,40
M,51
M,23
M,33
F,3
M,5
M,31
F,12
F,11
F,18
M,51
F,13
M,39
M,23
 ,52
 ,39
F,36
 ,39
M,20
F,22
M,76
M,50
M,32
M,23
M,27
F,84
M,69
F,25
 ,52
M,29
F,30
 ,40
M,20
F,75
F,28
M,12
F,20
 ,62
F,69
F,21
F,61
 ,3
M,36
M,60
 ,43
F,56
F,25
F,79
F,67
F,31
F,44
F,11
M,44
 ,8
 ,29
M,68
F,12
 ,38
M,19
 ,78
M,26
 ,35
F,57
F,30
 ,6
F,34
F,55
F,32
 ,36
M,35
F,26
M,36
F,47
F,48
M,23
M,55
 ,24
 ,51
F,44
 ,33
 ,35
F,56
F,16
F,59
F,68
 ,29
F,31
F,59
F,4
 ,20
F,60
F,42
 ,57
M,59
M,54
M,55
M,82
M,25
M,70
 ,49
F,5
M,23
 ,30
F,20
M,20
M,70
 ,28
F,40
F,35
F,19
M,56
F,20
M,64
F,57
M,73
 ,26
F,63
 ,59
M,62
F,63
F,58
M,33
M,19
F,32
M,56
 ,57
 ,64
 ,23
M,64
F,63
F,44
F,40
 ,11
F,40
M,38
F,36
F,38
M,41
 ,62
 ,20
F,31
M,35
F,40
F,37
F,40
 ,49
F,36
 ,64
 ,52
 ,46
M,23
 ,70
 ,59
 ,61
 ,70
M,73
M,37
M,21
F,50
M,24
F,42
 ,76
 ,41
F,60
M,20
 ,12
M,63
F,63
 ,24
F,46
F,54
F,21
F,25
F,36
M,51
M,39
 ,73
F,56
F,22
 ,22
 ,5
F,52
F,24
M,42
F,82
M,75
F,5
M,71
M,52
M,66
 ,37
F,46
F,40
 ,65
F,15
F,40
 ,41
 ,73
 ,36
M,5
F,38
 ,35
 ,20
M,44
M,38
M,28
F,33
F,25
F,69
 ,28
F,55
M,35
 ,43
M,14
F,54
 ,37
F,32
M,64
 ,46
M,49
F,29
 ,54
M,64
F,23
M,29
F,33
M,19
F,38
F,10
M,65
F,34
F,74
 ,11
 ,18
F,72
M,77
F,5
 ,38
 ,40
M,6
M,11
M,31
F,64
F,49
M,21
M,61
F,63
F,51
 ,66
F,47
M,67
M,69
F,21
 ,49
M,38
 ,57
M,24
M,23
F,37
M,40
M,7
 ,20
 ,48
 ,66
 ,54
 ,35
F,47
M,40
F,40
M,50
 ,31
F,65
 ,46
M,35
 ,31
F,30
M,72
F,35
M,85
F,83
M,50
F,19
F,47
 ,22
O,55
F,48
M,50
F,28
 ,78
F,72
M,54
M,21
F,44
M,23
F,80
F,21
 ,50
 ,61
F,40
 ,58
F,27
M,23
F,37
M,36
M,36
F,32
F,57
F,81
M,26
M,64
F,33
M,30
 ,21
F,40
F,50
F,71
M,57
F,21
 ,50
 ,42
F,54
F,41
M,43
M,29
M,72
 ,45
M,72
M,40
F,28
F,62
M,10
M,18
 ,49
 ,31
M,22
F,5
 ,32
M,33
M,66
M,83
M,6
F,20
M,27
F,29
M,57
M,14
 ,52
M,73
 ,31
 ,78
F,94
F,11
M,82
F,24
F,32
F,79
M,21
F,37
F,58
M,81
O,23
M,58
M,63
M,53
F,37
F,76
F,49
M,43
F,75
M,43
F,57
M,59
F,69
F,87
F,76
F,59
M,27
M,70
M,61
M,46
M,54
F,76
F,77
M,92
F,71
F,84
M,70
F,79
M,84
M,56
F,89
M,74
F,77
M,75
M,72
M,76
F,81
F,84
F,55
M,31
F,87
F,76
M,65
F,60
F,65
M,52
F,65
M,70
M,58
M,78
F,76
F,0
F,69
M,74
M,80
M,74
F,80
M,68
F,79
M,70
M,73
M,88
M,68
F,43
 ,41
F,60
M,20
F,55
 ,68
F,63
F,34
M,54
 ,29
F,39
 ,53
F,48
F,40
F,44
F,59
 ,21
M,54
F,20
 ,52
M,41
M,72
 ,18
M,33
F,40
 ,7
F,62
F,30
F,86
M,3
F,61
 ,63
 ,25
 ,15
 ,43
 ,88
M,29
F,81
M,3
M,51
 ,25
F,49
F,5
M,57
 ,52
F,31
F,41
M,25
 ,56
M,54
F,87
F,25
F,49
 ,31
 ,62
M,21
F,90
M,21
 ,28
M,10
M,48
F,34
M,3
F,33
F,27
F,36
 ,19
F,40
M,39
M,28
 ,22
 ,79
F,21
M,52
M,60
M,68
M,6
F,33
F,6
M,65
F,66
 ,69
M,40
F,33
 ,66
F,81
 ,17
F,32
M,53
M,19
F,25
F,21
 ,27
M,57
 ,28
F,30
 ,24
F,40
F,66
F,41
F,11
F,22
 ,43
M,21
M,63
M,58
F,57
M,41
F,70
M,19
F,23
M,50
M,40
F,22
 ,42
 ,58
 ,57
 ,31
F,66
M,62
F,39
M,38
F,79
F,54
 ,22
M,56
F,21
F,22
F,46
 ,4
M,15
M,50
F,43
F,3
F,61
 ,19
F,71
M,35
F,83
 ,20
M,21
M,52
F,57
M,40
 ,25
F,89
F,42
F,37
F,26
 ,32
F,49
M,55
F,40
 ,53
M,59
M,20
F,4
 ,8
F,20
M,54
F,83
M,67
 ,22
 ,65
F,34
F,18
F,48
F,76
 ,34
 ,12
M,48
F,32
 ,29
M,49
M,49
F,32
M,38
F,46
F,31
F,63
F,61
M,50
M,49
M,74
M,60
F,28
M,32
 ,58
M,23
 ,41
 ,49
F,44
M,41
F,78
M,28
F,29
 ,78
F,60
 ,31
F,37
 ,27
M,33
 ,56
 ,73
F,84
M,74
F,28
M,39
M,19
M,18
F,5
M,46
F,41
F,30
F,37
 ,52
 ,42
F,33
F,37
F,42
M,56
M,33
F,48
M,58
F,25
F,10
M,25
F,13
M,40
 ,44
M,28
M,56
M,40
 ,68
 ,34
F,37
F,30
 ,19
F,22
F,36
M,56
M,77
F,58
M,50
F,53
F,24
F,35
 ,61
F,51
M,71
M,38
M,33
F,5
F,23
F,82
F,71
F,29
F,32
 ,42
F,50
M,46
F,51
M,39
 ,69
M,41
F,40
M,28
F,38
M,56
F,56
F,63
F,37
F,20
M,37
F,41
 ,71
M,19
F,38
F,43
F,34
 ,44
M,42
M,32
F,69
F,33
F,61
M,19
M,40
M,77
M,33
F,20
F,22
F,80
F,36
F,47
 ,27
 ,8
M,39
 ,21
 ,64
 ,41
M,21
 ,25
M,29
M,58
M,17
F,31
F,40
M,22
 ,27
M,5
F,28
M,32
M,51
 ,32
 ,30
M,68
M,5
F,41
 ,44
M,27
 ,59
 ,61
M,47
F,24
F,74
M,75
M,68
F,68
M,24
M,15
 ,47
F,68
M,13
F,46
F,20
F,22
F,67
F,37
F,4
M,50
F,56
F,63
F,48
M,80
F,80
 ,30
F,46
F,34
F,39
F,18
M,65
 ,76
F,48
F,49
 ,54
F,58
 ,37
F,48
M,18
M,27
M,30
M,43
 ,54
M,42
M,28
 ,54
F,70
M,63
 ,25
M,21
F,35
M,33
 ,22
O,25
F,40
M,7
F,73
M,5
 ,5
M,46
 ,23
 ,23
M,17
M,42
 ,9
M,43
F,67
M,16
M,59
M,47
 ,29
 ,21
M,46
 ,37
F,40
F,37
F,60
 ,32
 ,77
M,37
 ,16
M,24
M,47
M,24
F,29
F,30
M,94
M,55
F,28
M,21
F,46
F,22
 ,42
F,42
 ,65
M,26
F,39
F,33
 ,28
M,36
F,67
M,64
 ,11
M,72
F,22
 ,51
M,22
M,24
M,33
M,27
 ,25
M,53
M,28
M,62
F,5
M,55
M,50
M,22
M,69
M,32
M,58
 ,65
F,35
M,44
F,76
F,23
F,24
M,50
F,13
M,38
F,12
M,61
M,37
M,44
F,71
 ,31
F,55
 ,52
M,24
F,29
F,61
 ,39
F,31
F,77
M,57
F,52
F,17
F,44
 ,46
M,18
 ,37
M,78
M,41
M,30
M,40
F,36
F,48
M,50
M,58
F,21
M,30
F,61
M,64
F,67
F,65
 ,66
M,63
 ,19
F,41
M,29
F,20
 ,69
M,37
M,33
 ,61
F,19
F,46
F,20
F,42
M,33
F,19
 ,57
F,49
M,48
M,47
M,19
M,28
M,49
M,41
 ,84
F,5
 ,28
M,52
 ,27
M,35
F,44
M,47
M,49
F,65
F,62
F,74
F,21
M,33
M,41
 ,61
 ,22
M,76
F,15
M,28
F,48
F,67
M,57
M,81
M,71
F,70
F,61
F,53
M,56
M,69
M,18
F,46
F,79
F,63
F,71
F,88
F,67
F,70
M,40
F,63
M,42
F,72
M,67
F,72
F,57
F,40
M,48
M,49
M,6
F,83
F,45
M,79
F,67
 ,15
 ,68
F,35
M,21
 ,79
M,21
M,15
M,42
 ,25
M,34
F,47
 ,12
F,39
F,70
 ,33
M,42
 ,56
M,79
M,69
M,48
F,28
M,18
M,39
F,25
 ,36
M,40
F,25
F,65
M,30
M,41
F,45
 ,29
F,61
 ,43
F,17
F,70
F,9
 ,31
M,23
M,32
F,70
M,76
F,71
M,39
M,35
F,66
M,22
F,49
M,22
M,36
M,51
M,52
F,47
M,51
F,88
M,34
M,69
M,60
 ,41
 ,67
 ,59
F,63
M,66
 ,37
M,47
F,37
M,23
 ,40
 ,18
M,25
M,30
M,23
F,48
F,73
M,27
M,46
M,35
F,44
M,59
 ,55
M,19
 ,62
M,17
M,61
F,69
 ,52
M,63
F,24
F,24
M,61
 ,89
 ,10
M,60
M,36
M,76
F,57
F,75
F,45
F,74
 ,37
 ,32
F,24
 ,34
F,40
M,20
M,14
M,15
 ,69
F,47
M,46
M,67
 ,34
M,17
F,53
M,46
M,56
M,42
F,25
M,31
F,41
M,54
 ,57
M,74
F,57
F,51
M,34
F,60
 ,63
M,57
F,41
M,79
F,72
M,52
F,18
F,38
F,39
M,39
 ,24
 ,26
F,18
F,53
 ,68
M,34
F,31
 ,66
M,22
M,61
 ,58
F,30
 ,55
 ,46
F,17
 ,31
M,34
F,24
M,63
M,63
 ,33
 ,41
M,62
M,52
 ,51
 ,33
F,31
 ,37
F,36
M,38
F,69
 ,42
F,64
F,26
F,63
M,76
M,51
 ,54
M,35
M,7
F,22
F,23
F,48
M,33
M,71
F,37
M,31
M,33
M,31
M,22
F,26
F,56
F,25
 ,75
F,60
F,25
F,32
F,19
F,35
F,54
F,36
M,25
M,50
M,49
M,31
M,22
M,57
M,26
M,41
M,44
F,46
M,26
F,70
M,53
F,35
F,60
F,93
M,35
 ,77
F,41
F,27
M,62
M,18
F,25
F,86
M,17
M,76
F,86
F,43
F,73
F,66
F,75
F,41
F,75
 ,64
 ,70
F,58
M,29
F,41
M,64
F,23
F,62
M,36
F,78
F,59
M,21
F,28
M,39
F,61
M,67
M,28
F,55
F,56
F,53
 ,38
M,63
M,25
M,25
F,25
F,54
F,55
F,25
M,25
M,64
M,63
F,63
F,25
M,30
M,42
M,22
M,31
M,36
F,88
M,18
F,20
M,43
F,25
F,34
F,47
M,58
M,64
F,25
F,66
M,47
M,71
F,79
M,25
M,7
M,29
F,29
M,66
 ,71
F,60
M,38
F,25
F,8
F,99
F,43
M,40
F,69
M,34
F,50
F,17
M,50
 ,66
 ,65
M,28
 ,71
M,37
M,21
F,22
F,65
M,40
M,59
M,31
 ,42
M,31
 ,75
 ,64
M,63
F,19
 ,27
M,61
 ,60
F,34
F,39
M,42
F,68
M,50
M,31
F,56
F,16
F,59
M,34
F,34
 ,37
F,6
 ,43
F,81
M,35
M,60
F,51
F,67
 ,63
 ,54
M,21
F,24
F,47
F,69
F,53
F,50
F,21
F,17
F,25
M,27
M,68
M,42
F,26
F,46
M,13
M,66
M,40
M,66
M,68
F,71
F,67
F,60
F,45
M,56
F,84
F,59
F,77
F,54
M,74
M,62
M,67
M,58
M,82
F,75
M,77
M,50
F,73
F,62
F,57
F,78
F,64
M,52
F,62
M,71
M,82
M,88
M,74
M,69
M,87
F,59
F,21
M,54
F,58
M,55
M,69
F,17
M,51
M,67
M,80
F,78
F,25
F,52
M,58
M,66
M,21
F,80
M,54
F,67
F,63
F,49
M,60
F,42
M,63
M,65
M,45
 ,39
F,6
M,15
 ,80
F,25
F,65
 ,14
M,68
M,41
F,63
