ATM_Address,ATM_City_State,Merchant_Category,Merchant_Name,Transaction_Code,Transaction_Code_Description,Transaction_Type,Transaction_Type_Description,Transaction_Number,Amount_Completed,Transaction_Date,Time_Local_hhmmss,Recurring_Trxn,CustomerID
GROVETON,GROVETONNH,5542,BATCH S KWIK ST,20,POS Debit        Pri,P,Pinned Settlements  ,41,34.3,2025-11-22,204700, ,BSB354894
10 E SCHOODIC DR,BIRCH HARBORME,5541,MC S MARKET PL,0,POS Debit        Pri,P,Pinned Settlements  ,19,27.29,2025-12-17,164304, ,BSB286192
CIRCLE K # 07125 12,STANDISHME,5541,CIRCLE K # 07125,20,POS Debit        Pri,P,Pinned Settlements  ,89,40.0,2025-11-23,170429, ,BSB012396
HANNAFORD #8349 111,STANDISHME,5411,HANNAFORD #8349,20,POS Debit        Pri,P,Pinned Settlements  ,70,24.93,2025-11-23,165824, ,BSB012396
2775 MAIN STREET,RANGELEYME,5542,LOONY BIN VARIET,0,POS Debit        Pri,P,Pinned Settlements  ,33,10.26,2025-12-21,185600, ,BSB084941
38 SEARSPORT AVE,BELFASTME,5542,BIG APPLE #1037,20,POS Debit        Pri,P,Pinned Settlements  ,33,38.87,2025-11-22,141508, ,BSB007975
PLAYSTATION NETWORK,FOSTER CITYCA,5818,PLAYSTATION NETW,20,POS Debit        Pri,P,Pinned Settlements  ,53,0.0,2025-11-22,15522, ,BSB060387
30 LANDING RD,WINDHAMME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,79,127.47,2025-11-21,183455, ,BSB371873
GOOGLE *ROBLOX,MOUNTAIN VIEWCA,5734,GOOGLE *ROBLOX,20,POS Debit        Pri,P,Pinned Settlements  ,76,10.54,2025-11-22,124604, ,BSB189410
BELFAST,BELFASTME,5411,WENTWORTH FAMIL,20,POS Debit        Pri,P,Pinned Settlements  ,21,34.34,2025-11-24,141200, ,BSB390781
PORTLAND,PORTLANDME,5541,RIVERSIDE ENERG,20,POS Debit        Pri,P,Pinned Settlements  ,40,26.15,2025-11-30,162600, ,BSB145135
SACO,SACOME,5411,SHAWS OSCO 2626,20,POS Debit        Pri,P,Pinned Settlements  ,77,551.0,2025-12-05,102800, ,BSB202821
GOOGLE *NETSHORT PO,MOUNTAIN VIEWCA,5734,GOOGLE *NETSHORT,20,POS Debit        Pri,P,Pinned Settlements  ,5,21.09,2025-12-05,85853, ,BSB319852
80 WATERVILLE COMMO,WATERVILLEME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,16,20.97,2025-11-23,135257, ,BSB311528
GOOGLE *TIKTOK VIDE,MOUNTAIN VIEWCA,5734,GOOGLE *TIKTOK V,20,POS Debit        Pri,P,Pinned Settlements  ,3,11.59,2025-11-22,123540, ,BSB390781
PARADIS SHOP N SAVE,BREWERME,5411,PARADIS SHOP N S,20,POS Debit        Pri,P,Pinned Settlements  ,70,155.15,2025-11-23,112335, ,BSB321096
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*B06Q4,20,POS Debit        Pri,P,Pinned Settlements  ,54,45.76,2025-11-21,224643, ,BSB321096
30 ELM PLZ,WATERVILLEME,5331,FIVE BELOW 8123,20,POS Debit        Pri,P,Pinned Settlements  ,98,14.66,2025-11-23,141334, ,BSB311528
GOOGLE *TIKTOK VIDE,MOUNTAIN VIEWCA,5734,GOOGLE *TIKTOK V,20,POS Debit        Pri,P,Pinned Settlements  ,18,7.38,2025-11-22,185150, ,BSB390781
AMAZON.COM,SEATTLEWA,5942,AMAZON.COM*B26UV,20,POS Debit        Pri,P,Pinned Settlements  ,92,16.89,2025-11-22,224420, ,BSB457866
CIRCLE K # 07125 12,STANDISHME,5542,CIRCLE K # 07125,20,POS Debit        Pri,P,Pinned Settlements  ,84,32.0,2025-11-22,190051, ,BSB311287
TURNER,TURNERME,5541,TURNER IRVING R,20,POS Debit        Pri,P,Pinned Settlements  ,40,19.73,2025-11-24,35000, ,BSB063926
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*B09EH,20,POS Debit        Pri,P,Pinned Settlements  ,81,8.39,2025-11-23,180339, ,BSB321096
HANNAFORD #8241 93,BELFASTME,5411,HANNAFORD #8241,20,POS Debit        Pri,P,Pinned Settlements  ,54,25.12,2025-11-23,132405, ,BSB007975
524 N MAIN ST,SACOME,5814,MCDONALD S F1472,20,POS Debit        Pri,P,Pinned Settlements  ,0,8.83,2025-11-23,214700, ,BSB328745
95 LINCOLNVILLE AVE,BELFASTME,5310,OCEAN STATE 471,20,POS Debit        Pri,P,Pinned Settlements  ,58,19.96,2025-11-24,122109, ,BSB007975
231 NORTHPORT AVE,BELFASTME,5251,AUBUCHON HARDWAR,20,POS Debit        Pri,P,Pinned Settlements  ,0,21.08,2025-11-23,130113, ,BSB101817
EDWARDS BROS SUPERM,SEARSPORTME,5411,EDWARDS BROS SUP,20,POS Debit        Pri,P,Pinned Settlements  ,37,17.34,2025-11-21,183752, ,BSB101817
702 SW 8TH ST,BENTONVILLEAR,5310,WALMART.COM 8009,20,POS Debit        Pri,P,Pinned Settlements  ,25,15.59,2025-11-22,231834, ,BSB463538
900 STILLWATER AVE,BANGORME,5411,WAL WAL-MART #18,20,POS Debit        Pri,P,Pinned Settlements  ,13,33.0,2025-11-21,193004, ,BSB342044
210 MAIN ST,WATERVILLEME,5912,WALGREENS STORE,20,POS Debit        Pri,P,Pinned Settlements  ,14,16.96,2025-11-24,165532, ,BSB129462
485 MAIN STREET,DAMARISCOTTAME,5814,MCDONALD S F1277,20,POS Debit        Pri,P,Pinned Settlements  ,0,5.81,2025-11-21,181300, ,BSB009207
ATHENS,ATHENSME,5541,ATHENS IRVING,20,POS Debit        Pri,P,Pinned Settlements  ,27,5.38,2025-11-22,155700, ,BSB102698
GOOGLE *TIKTOK VIDE,MOUNTAIN VIEWCA,5734,GOOGLE *TIKTOK V,20,POS Debit        Pri,P,Pinned Settlements  ,32,7.38,2025-11-22,124616, ,BSB390781
CIRCLE K 07058 301,BANGORME,5541,CIRCLE K 07058 3,20,POS Debit        Pri,P,Pinned Settlements  ,61,7.24,2025-11-23,113644, ,BSB342044
HANNAFORD #8141 469,DAMARISCOTTAME,5411,HANNAFORD #8141,20,POS Debit        Pri,P,Pinned Settlements  ,10,0.0,2025-11-22,110246, ,BSB009207
EDWARDS BROS SUPERM,SEARSPORTME,5411,EDWARDS BROS SUP,20,POS Debit        Pri,P,Pinned Settlements  ,9,25.86,2025-11-23,164326, ,BSB101817
WATERVILLE,WATERVILLEME,5411,SHAWS OSCO 3551,20,POS Debit        Pri,P,Pinned Settlements  ,84,17.05,2025-11-23,135700, ,BSB129462
HANNAFORD #8438 114,CARIBOUME,5411,HANNAFORD #8438,20,POS Debit        Pri,P,Pinned Settlements  ,92,296.31,2025-11-24,160000, ,BSB424676
196 MAIN ST,FARMINGTONME,9402,USPS PO 22288009,20,POS Debit        Pri,P,Pinned Settlements  ,56,1.01,2025-11-24,153611, ,BSB390925
Rob s Hardware,BucksportME,5039,Rob s Hardware,20,POS Debit        Pri,P,Pinned Settlements  ,19,7.16,2025-11-24,100957, ,BSB101817
SAVERS - 1164 2064,NEWINGTONNH,5931,SAVERS - 1164 20,20,POS Debit        Pri,P,Pinned Settlements  ,95,16.47,2025-11-25,111252, ,BSB394555
TRADEWINDS MARKET 1,CLINTONME,5411,TRADEWINDS MARKE,20,POS Debit        Pri,P,Pinned Settlements  ,3,65.71,2025-11-22,174944, ,BSB365487
550 ALFRED ST,BIDDEFORDME,5200,NST THE HOME DEP,20,POS Debit        Pri,P,Pinned Settlements  ,1,12.04,2025-11-22,160545, ,BSB243684
00723--32 NORTHWEST,NASHUANH,5912,CVS/PHARMACY #00,20,POS Debit        Pri,P,Pinned Settlements  ,39,5.14,2025-11-22,123554, ,BSB470105
HANNAFORD #8291 131,FARMINGTONME,5411,HANNAFORD #8291,20,POS Debit        Pri,P,Pinned Settlements  ,85,9.72,2025-11-24,155337, ,BSB390925
EDWARDS BROS SUPERM,SEARSPORTME,5411,EDWARDS BROS SUP,20,POS Debit        Pri,P,Pinned Settlements  ,79,15.76,2025-11-22,175718, ,BSB101817
30 GARLAND RD,WINSLOWME,5251,CAMPBELL S HARDW,20,POS Debit        Pri,P,Pinned Settlements  ,55,90.69,2025-11-25,134924, ,BSB040998
GOOGLE *TIKTOK VIDE,MOUNTAIN VIEWCA,5734,GOOGLE *TIKTOK V,20,POS Debit        Pri,P,Pinned Settlements  ,96,11.59,2025-11-22,121958, ,BSB390781
615 WILTON RD,FARMINGTONME,5411,WAL-MART #1866,20,POS Debit        Pri,P,Pinned Settlements  ,0,9.46,2025-11-22,85400, ,BSB390925
60 FAIRGROUNDS MKT,SKOWHEGANME,5411,WAL-MART #2143,20,POS Debit        Pri,P,Pinned Settlements  ,72,56.18,2025-11-23,134212, ,BSB102698
710 NORTH ST,HOULTONME,5814,MCDONALD S F3577,20,POS Debit        Pri,P,Pinned Settlements  ,0,7.0,2025-11-24,160200, ,BSB332410
15 TOPSHAM FAIR MAL,TOPSHAMME,5814,WENDYS 8341,20,POS Debit        Pri,P,Pinned Settlements  ,31,2.37,2025-11-25,135042, ,BSB509688
500 GALLERY BLVD,SCARBOROUGHME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,32,9.58,2025-11-23,124051, ,BSB243684
6 COMMERCIAL LANE,JAYME,5814,MCDONALD S F6847,20,POS Debit        Pri,P,Pinned Settlements  ,0,2.91,2025-11-24,62600, ,BSB390925
KENSINGTON,KENSINGTONNH,5542,NOURIA STORE 11,20,POS Debit        Pri,P,Pinned Settlements  ,84,18.9,2025-11-25,135700, ,BSB134231
702 SW 8TH ST,BENTONVILLEAR,5300,SAMS CLUB.COM,20,POS Debit        Pri,P,Pinned Settlements  ,51,43.81,2025-11-23,230914, ,BSB502074
500 SPAULDING TURNP,PORTSMOUTHNH,5200,NST THE HOME DEP,20,POS Debit        Pri,P,Pinned Settlements  ,1,16.98,2025-11-25,141008, ,BSB134231
CIRCLE K 07046 401,SCARBOROUGHME,5542,CIRCLE K 07046 4,20,POS Debit        Pri,P,Pinned Settlements  ,73,32.0,2025-11-25,155046, ,BSB325636
85 STATE ROUTE 101A,AMHERSTNH,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,52,14.47,2025-11-23,115135, ,BSB470105
17 LUDLOW RD,HOULTONME,5411,WAL WAL-MART #19,20,POS Debit        Pri,P,Pinned Settlements  ,63,27.47,2025-11-24,60656, ,BSB332410
SOUTH PORTLAN,SOUTH PORTLANME,5541,S PORTLAND IRVI,20,POS Debit        Pri,P,Pinned Settlements  ,29,28.72,2025-11-24,212900, ,BSB161917
BREWER,BREWERME,5411,WAL-MART #5076,20,POS Debit        Pri,P,Pinned Settlements  ,38,56.3,2025-11-24,191500, ,BSB389325
12 COMMERCIAL DR,SOMERSWORTHNH,5200,NST THE HOME DEP,20,POS Debit        Pri,P,Pinned Settlements  ,1,119.55,2025-11-25,150258, ,BSB134231
17 OLD POINT AVE,MADISONME,5541,BIG APPLE #1051,20,POS Debit        Pri,P,Pinned Settlements  ,20,18.87,2025-11-25,145502, ,BSB041617
BANGOR,BANGORME,5411,SHAWS OSCO 4556,20,POS Debit        Pri,P,Pinned Settlements  ,19,65.61,2025-11-21,190200, ,BSB446841
6460 S MCCLINTOCK D,TEMPEAZ,5411,TRADER JOE S #09,20,POS Debit        Pri,P,Pinned Settlements  ,13,62.15,2025-11-24,121636, ,BSB452360
236 VAN BUREN RD,CARIBOUME,5261,HANEY S HOME. FA,20,POS Debit        Pri,P,Pinned Settlements  ,25,16.9,2025-11-24,141420, ,BSB424676
SAVERS - 1164 2064,NEWINGTONNH,5931,SAVERS - 1164 20,20,POS Debit        Pri,P,Pinned Settlements  ,43,9.99,2025-11-25,111351, ,BSB394555
CIRCLE K 07011 209,BELFASTME,5542,CIRCLE K 07011 2,20,POS Debit        Pri,P,Pinned Settlements  ,65,45.5,2025-11-23,134615, ,BSB101817
64 NORTH ST,HOULTONME,5993,CIGARET SHOPPER,20,POS Debit        Pri,P,Pinned Settlements  ,95,31.64,2025-11-24,84202, ,BSB332410
PORTLAND,PORTLANDME,5541,RIVERSIDE ENERG,20,POS Debit        Pri,P,Pinned Settlements  ,87,11.9,2025-11-25,91800, ,BSB414411
97 MAIN ST,COLEBROOKNH,5541,BIG APPLE #1108,20,POS Debit        Pri,P,Pinned Settlements  ,26,31.2,2025-11-24,155745, ,BSB115567
1103 VT ROUTE,BEECHER FALLSVT,5541,QUECHEE FARMS LL,20,POS Debit        Pri,P,Pinned Settlements  ,45,7.31,2025-11-22,193600, ,BSB115567
Turnpike Mile 24 S,KENNEBUNKME,5542,CITGO #2041 MILE,20,POS Debit        Pri,P,Pinned Settlements  ,1,20.8,2025-11-25,154641, ,BSB204947
HANNAFORD #8241 93,BELFASTME,5411,HANNAFORD #8241,20,POS Debit        Pri,P,Pinned Settlements  ,68,73.6,2025-11-25,143910, ,BSB194497
HANNAFORD #8265 692,LEWISTONME,5411,HANNAFORD #8265,20,POS Debit        Pri,P,Pinned Settlements  ,28,25.3,2025-11-24,181840, ,BSB335873
HANNAFORD #8133 500,OLD TOWNME,5411,HANNAFORD #8133,20,POS Debit        Pri,P,Pinned Settlements  ,94,45.81,2025-11-25,194907, ,BSB322208
SOuth  CHINA,SOuth  CHINAME,5411,TOBEY S GROCERY,20,POS Debit        Pri,P,Pinned Settlements  ,57,7.51,2025-11-25,155800, ,BSB051136
19 DUCK COVE RD,ORLANDME,5541,TRADEWINDS VARIE,20,POS Debit        Pri,P,Pinned Settlements  ,68,23.05,2025-11-26,170351, ,BSB017279
SHELL,BREWERME,5541,SHELL SERVICE S,20,POS Debit        Pri,P,Pinned Settlements  ,34,60.0,2025-11-26,172800, ,BSB034421
GOOGLE *GOOGLE ONE,MOUNTAIN VIEWCA,5734,GOOGLE *GOOGLE O,20,POS Debit        Pri,P,Pinned Settlements  ,6,1.99,2025-11-23,74150, ,BSB288588
HANNAFORD #8254 225,MADISONME,5411,HANNAFORD #8254,20,POS Debit        Pri,P,Pinned Settlements  ,3,22.3,2025-11-24,184200, ,BSB288588
CIRCLE K # 07124 49,LIBERTYME,5541,CIRCLE K # 07124,20,POS Debit        Pri,P,Pinned Settlements  ,80,15.64,2025-11-25,62454, ,BSB051136
SAVERS - 1164 2064,NEWINGTONNH,5931,SAVERS - 1164 20,20,POS Debit        Pri,P,Pinned Settlements  ,48,116.94,2025-11-25,111446, ,BSB394555
GOOGLE *YOUTUBE TV,MOUNTAIN VIEWCA,5815,GOOGLE *YOUTUBE,20,POS Debit        Pri,P,Pinned Settlements  ,0,122.76,2025-11-26,94011, ,BSB319940
CIRCLE K 07013 691,CALAISME,5541,CIRCLE K 07013 6,20,POS Debit        Pri,P,Pinned Settlements  ,28,3.84,2025-11-22,130823, ,BSB006199
BRUNSWICK,BRUNSWICKME,5542,BRUNSWICK IRVIN,20,POS Debit        Pri,P,Pinned Settlements  ,46,20.02,2025-11-25,191900, ,BSB385304
221 US HWY 1,SCARBOROUGHME,5814,MCDONALD S F5314,20,POS Debit        Pri,P,Pinned Settlements  ,0,7.21,2025-11-25,123900, ,BSB211172
223 TOWNSEND AVE,BOOTHBAY HARBME,5912,WALGREENS STORE,20,POS Debit        Pri,P,Pinned Settlements  ,99,21.87,2025-11-26,175441, ,BSB385304
SHELL,PORTSMOUTHNH,5542,SHELL SERVICE S,20,POS Debit        Pri,P,Pinned Settlements  ,88,20.72,2025-12-05,172500, ,BSB134231
420 CAMDEN RD,WARRENME,5251,WARREN TRUE VALU,20,POS Debit        Pri,P,Pinned Settlements  ,20,10.54,2025-12-05,113320, ,BSB173095
584 ODLIN RD,BANGORME,5599,DIESEL FUEL SYST,20,POS Debit        Pri,P,Pinned Settlements  ,8,1026.7,2025-12-05,94714, ,BSB010585
214 MAIN ST,GORHAMNH,5814,MCDONALD S F1881,20,POS Debit        Pri,P,Pinned Settlements  ,0,15.17,2025-12-05,120100, ,BSB264023
ANIMAL MEDICAL CLIN,SKOWHEGANME,742,ANIMAL MEDICAL C,20,POS Debit        Pri,P,Pinned Settlements  ,95,60.76,2025-12-05,132058, ,BSB151621
14 STEPHEN KING DR,AUGUSTAME,5310,HOMEGOODS #1122,20,POS Debit        Pri,P,Pinned Settlements  ,50,39.0,2025-12-05,141602, ,BSB130659
ERROL,ERROLNH,5542,ERROL IRVING PE,20,POS Debit        Pri,P,Pinned Settlements  ,72,34.98,2025-12-05,125200, ,BSB328833
HANNAFORD #8347 95,AUBURNME,5411,HANNAFORD #8347,20,POS Debit        Pri,P,Pinned Settlements  ,72,18.24,2025-12-05,91333, ,BSB416144
HANNAFORD #8140 22,LINCOLNME,5411,HANNAFORD #8140,20,POS Debit        Pri,P,Pinned Settlements  ,17,66.35,2025-12-08,161653, ,BSB515919
91 MAIN ST,COLEBROOKNH,5912,WALGREENS STORE,20,POS Debit        Pri,P,Pinned Settlements  ,51,36.36,2025-12-05,104804, ,BSB277313
DG 15708409 US RT 2,WILTONME,5310,DOLLAR GENERAL #,20,POS Debit        Pri,P,Pinned Settlements  ,11,11.44,2025-12-05,161405, ,BSB108458
SACO,SACOME,5541,SUNOCO 80004717,20,POS Debit        Pri,P,Pinned Settlements  ,23,9.57,2025-12-05,94600, ,BSB202821
HANNAFORD #8223 7 H,WESTBROOKME,5411,HANNAFORD #8223,20,POS Debit        Pri,P,Pinned Settlements  ,38,17.75,2025-12-07,150331, ,BSB294285
GOOGLE *REELSHORT S,MOUNTAIN VIEWCA,5734,GOOGLE *REELSHOR,20,POS Debit        Pri,P,Pinned Settlements  ,48,21.09,2025-12-05,62002, ,BSB319852
97 OAK ST,BANGORME,5310,DOLLAR GENERAL #,0,POS Debit        Pri,P,Pinned Settlements  ,10,10.5,2025-12-21,84638, ,BSB061382
GOOGLE *ROBLOX,MOUNTAIN VIEWCA,5734,GOOGLE *ROBLOX,20,POS Debit        Pri,P,Pinned Settlements  ,92,10.54,2025-11-22,124641, ,BSB189410
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*B01S8,20,POS Debit        Pri,P,Pinned Settlements  ,86,45.35,2025-11-23,173506, ,BSB321096
CIRCLE K # 07125 12,STANDISHME,5541,CIRCLE K # 07125,20,POS Debit        Pri,P,Pinned Settlements  ,68,38.48,2025-11-22,190424, ,BSB311287
1115 UNION ST,BANGORME,5331,DOLLAR TREE,20,POS Debit        Pri,P,Pinned Settlements  ,47,48.79,2025-12-07,110457, ,BSB158071
HANNAFORD #8330 100,SKOWHEGANME,5411,HANNAFORD #8330,20,POS Debit        Pri,P,Pinned Settlements  ,56,187.85,2025-12-05,125510, ,BSB253190
11 Andrews Rd,SomersworthNH,5411,TARGET T-2182,20,POS Debit        Pri,P,Pinned Settlements  ,86,14.44,2025-12-05,164824, ,BSB340731
10820 KINGS RD,MYRTLE BEACHSC,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,37,163.8,2025-12-08,161445, ,BSB404786
SANFORD,SANFORDME,5541,NOURIA STORE 11,20,POS Debit        Pri,P,Pinned Settlements  ,80,55.31,2025-12-06,171400, ,BSB415686
603 Center St.,AuburnME,5411,TARGET T-2880,20,POS Debit        Pri,P,Pinned Settlements  ,67,39.66,2025-12-09,155119, ,BSB335873
COLEBROOK,COLEBROOKNH,5411,LAPERLES IGA,20,POS Debit        Pri,P,Pinned Settlements  ,17,77.25,2025-12-06,142100, ,BSB277313
CIRCLE K # 07125 12,STANDISHME,5541,CIRCLE K # 07125,20,POS Debit        Pri,P,Pinned Settlements  ,54,49.25,2025-12-07,102648, ,BSB188984
BETHELPROVISIONHOLD,BETHELME,5411,BETHELPROVISIONH,20,POS Debit        Pri,P,Pinned Settlements  ,59,11.12,2025-12-05,184514, ,BSB507789
141 US RTE 1,BUCKSPORTME,5814,MCDONALD S F7995,20,POS Debit        Pri,P,Pinned Settlements  ,0,19.31,2025-12-09,190800, ,BSB132931
SKOWHEGAN,SKOWHEGANME,5411,WAL-MART #2143,20,POS Debit        Pri,P,Pinned Settlements  ,21,161.02,2025-12-09,160700, ,BSB109028
2 SOMERSET AVE,PITTSFIELDME,5331,FAMILY DOLLAR,20,POS Debit        Pri,P,Pinned Settlements  ,93,21.83,2025-12-09,180519, ,BSB080741
GOOGLE *YOUTUBE,MOUNTAIN VIEWCA,5815,GOOGLE *YOUTUBE,20,POS Debit        Pri,P,Pinned Settlements  ,12,10.99,2025-12-06,112145, ,BSB080741
HANNAFORD #8265 692,LEWISTONME,5411,HANNAFORD #8265,20,POS Debit        Pri,P,Pinned Settlements  ,67,19.88,2025-12-09,82719, ,BSB335873
CIRCLE K 07053 775,SACOME,5541,CIRCLE K 07053 7,20,POS Debit        Pri,P,Pinned Settlements  ,78,6.1,2025-12-08,74437, ,BSB415686
HANNAFORD #8133 500,OLD TOWNME,5411,HANNAFORD #8133,20,POS Debit        Pri,P,Pinned Settlements  ,44,29.23,2025-12-06,121714, ,BSB162839
6 ROCKWOOD ROAD,GREENVILLE JUME,5541,BRETON S STORE G,20,POS Debit        Pri,P,Pinned Settlements  ,68,16.23,2025-11-25,153511, ,BSB461963
HANNAFORD #8358 520,RUMFORDME,5411,HANNAFORD #8358,20,POS Debit        Pri,P,Pinned Settlements  ,80,10.61,2025-11-21,192855, ,BSB189410
887 FOREST AVE,PORTLANDME,5921,RSVP,20,POS Debit        Pri,P,Pinned Settlements  ,7,69.03,2025-11-22,180005, ,BSB398990
GOOGLE *TIKTOK VIDE,MOUNTAIN VIEWCA,5734,GOOGLE *TIKTOK V,20,POS Debit        Pri,P,Pinned Settlements  ,64,7.38,2025-11-22,192404, ,BSB390781
615 WILTON RD,FARMINGTONME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,62,110.63,2025-11-22,84148, ,BSB390925
HANNAFORD #8141 469,DAMARISCOTTAME,5411,HANNAFORD #8141,20,POS Debit        Pri,P,Pinned Settlements  ,44,270.18,2025-11-22,110410, ,BSB009207
1440 GREENLAND ROAD,GREENLANDNH,5200,LOWE S #1879,20,POS Debit        Pri,P,Pinned Settlements  ,99,64.34,2025-11-25,164839, ,BSB134231
GOOGLE *CHARACTER A,MOUNTAIN VIEWCA,5816,GOOGLE *CHARACTE,20,POS Debit        Pri,P,Pinned Settlements  ,56,10.66,2025-12-07,60710, ,BSB001806
SQUAREUP.COM,OAKLANDCA,7299,CASH APP*JASON J,20,POS Debit        Pri,P,Pinned Settlements  ,12,80.0,2025-12-06,131901, ,BSB279099
TRADEWINDS SHOP N S,CALAISME,5411,TRADEWINDS SHOP,20,POS Debit        Pri,P,Pinned Settlements  ,56,126.05,2025-12-06,165126, ,BSB130065
900 STILLWATER AVE,BANGORME,5411,WM SUPERCENTER #,20,POS Debit        Pri,P,Pinned Settlements  ,79,17.67,2025-12-06,212209, ,BSB322208
FARMINGTON,FARMINGTONME,5411,WAL-MART #1866,20,POS Debit        Pri,P,Pinned Settlements  ,4,163.57,2025-12-06,151600, ,BSB159056
LINCOLN,LINCOLNME,5542,GULF OIL 920170,20,POS Debit        Pri,P,Pinned Settlements  ,8,51.0,2025-12-05,145100, ,BSB449959
SQUAREUP.COM,OAKLANDCA,7299,CASH APP*TYLER M,20,POS Debit        Pri,P,Pinned Settlements  ,85,790.0,2025-12-06,181144, ,BSB184536
AMAZON.COM,SEATTLEWA,4816,AMAZON.COM*BI5XD,20,POS Debit        Pri,P,Pinned Settlements  ,89,50.13,2025-12-05,112440, ,BSB449959
632 BROADWAY,BANGORME,5814,MCDONALD S F666,20,POS Debit        Pri,P,Pinned Settlements  ,0,24.7,2025-12-05,151700, ,BSB109686
SOUTH PORTLAN,SOUTH PORTLANME,5542,S PORTLAND IRVI,20,POS Debit        Pri,P,Pinned Settlements  ,60,83.44,2025-11-24,212200, ,BSB161917
250 W BROADWAY,LINCOLNME,5411,WAL-MART #1919,20,POS Debit        Pri,P,Pinned Settlements  ,69,55.29,2025-11-22,135637, ,BSB446841
622 CONGRESS ST STE,PORTLANDME,9402,USPS PO 22690701,20,POS Debit        Pri,P,Pinned Settlements  ,29,64.8,2025-11-25,143137, ,BSB146866
Robs True Value,BelfastME,5251,Robs True Value,20,POS Debit        Pri,P,Pinned Settlements  ,6,6.21,2025-11-24,104513, ,BSB101817
30 GARLAND RD,WINSLOWME,5251,CAMPBELL S HARDW,20,POS Debit        Pri,P,Pinned Settlements  ,13,107.54,2025-11-25,115150, ,BSB040998
566 UNION ST,BANGORME,5912,WALGREENS STORE,20,POS Debit        Pri,P,Pinned Settlements  ,18,50.8,2025-11-26,162318, ,BSB158071
AMAZON.COM,SEATTLEWA,5942,AMAZON.COM*B20IL,20,POS Debit        Pri,P,Pinned Settlements  ,38,17.71,2025-11-24,172704, ,BSB159874
153 HINCKLEY RD,CLINTONME,5542,TRADEWINDS CITGO,20,POS Debit        Pri,P,Pinned Settlements  ,77,26.86,2025-11-28,160931, ,BSB120038
